"id","participant_id","question_id","response_value","questionnaire_type","timestamp"
"158","015f7c2e-7897-4f39-a80d-ba2c41885d91","pre_tech_comfort","5","pre","2025-04-24 10:08:41.775612+00"
"159","4beaba4b-fb1b-45e6-9519-6af798532e6f","pre_content_familiarity","6","pre","2025-04-24 10:09:32.938224+00"
"160","4beaba4b-fb1b-45e6-9519-6af798532e6f","pre_decision_experience","5","pre","2025-04-24 10:09:32.938224+00"
"161","4beaba4b-fb1b-45e6-9519-6af798532e6f","pre_ai_familiarity","5","pre","2025-04-24 10:09:32.938224+00"
"162","4beaba4b-fb1b-45e6-9519-6af798532e6f","pre_ai_usage","6","pre","2025-04-24 10:09:32.938224+00"
"163","4beaba4b-fb1b-45e6-9519-6af798532e6f","pre_tech_comfort","5","pre","2025-04-24 10:09:32.938224+00"
"164","137b5175-1e73-440f-98ac-779c4bb7a82f","post_overall_difficulty","5","post","2025-04-24 10:19:00.908716+00"
"165","137b5175-1e73-440f-98ac-779c4bb7a82f","post_confidence","4","post","2025-04-24 10:19:00.908716+00"
"166","137b5175-1e73-440f-98ac-779c4bb7a82f","post_effort","5","post","2025-04-24 10:19:00.908716+00"
"167","137b5175-1e73-440f-98ac-779c4bb7a82f","post_engagement","5","post","2025-04-24 10:19:00.908716+00"
"168","495deb73-d8eb-448f-8326-d7efe9e8eee1","post_overall_difficulty","5","post","2025-04-24 10:19:06.593386+00"
"169","495deb73-d8eb-448f-8326-d7efe9e8eee1","post_confidence","2","post","2025-04-24 10:19:06.593386+00"
"170","495deb73-d8eb-448f-8326-d7efe9e8eee1","post_effort","5","post","2025-04-24 10:19:06.593386+00"
"171","495deb73-d8eb-448f-8326-d7efe9e8eee1","post_engagement","6","post","2025-04-24 10:19:06.593386+00"
"172","7393fb9b-2bd2-45b0-a8f3-27312c439586","post_overall_difficulty","5","post","2025-04-24 10:19:46.248967+00"
"173","7393fb9b-2bd2-45b0-a8f3-27312c439586","post_confidence","4","post","2025-04-24 10:19:46.248967+00"
"174","7393fb9b-2bd2-45b0-a8f3-27312c439586","post_effort","6","post","2025-04-24 10:19:46.248967+00"
"175","7393fb9b-2bd2-45b0-a8f3-27312c439586","post_engagement","5","post","2025-04-24 10:19:46.248967+00"
"176","54e20378-5282-4fda-8e17-c451a1b14e26","post_overall_difficulty","6","post","2025-04-24 10:20:18.824674+00"
